               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.058958,              0.1069,            0.020016,             0.50883,             0.39125,             0.21687,             0.11167,             0.06476,            0.092514,            0.019526,           0.0088615,           0.0088615,           0.0088615
                  48,            0.064478,             0.13331,            0.019617,             0.59919,             0.30059,             0.27811,             0.12594,            0.060545,            0.094337,            0.019368,           0.0088368,           0.0088368,           0.0088368
                  49,             0.05898,             0.11951,            0.019909,             0.60549,              0.4446,             0.36524,             0.18572,            0.061798,            0.091988,            0.019368,            0.008812,            0.008812,            0.008812
                  50,            0.059535,             0.11851,            0.019161,              0.6629,             0.39125,             0.37432,             0.17191,             0.05643,            0.090065,             0.01913,           0.0087872,           0.0087872,           0.0087872
                  51,            0.056405,             0.11739,            0.019364,             0.59268,             0.41398,             0.32489,             0.15638,            0.061991,            0.090469,            0.018977,           0.0087625,           0.0087625,           0.0087625
                  52,            0.061637,             0.12678,            0.018532,             0.68265,             0.28364,             0.34378,             0.15705,            0.058741,            0.092422,            0.018658,           0.0087378,           0.0087378,           0.0087378
                  53,             0.05509,             0.12915,            0.018849,             0.60971,             0.43988,             0.37962,             0.16495,            0.053271,            0.089394,            0.019487,            0.008713,            0.008713,            0.008713
                  54,            0.055407,             0.12128,            0.018998,             0.62719,             0.44306,             0.36646,             0.18233,            0.052831,            0.086823,            0.019151,           0.0086882,           0.0086882,           0.0086882
                  55,            0.052988,             0.10894,             0.01845,             0.54039,             0.38172,             0.24197,             0.08087,            0.063395,            0.092041,            0.018695,           0.0086635,           0.0086635,           0.0086635
                  56,             0.05972,             0.11797,            0.017597,              0.5891,             0.35618,             0.29532,             0.15094,            0.055665,            0.088303,            0.017727,           0.0086388,           0.0086388,           0.0086388
                  57,            0.054081,             0.12422,            0.017969,             0.70879,             0.37072,             0.39952,             0.18435,            0.057048,            0.092178,            0.018013,            0.008614,            0.008614,            0.008614
                  58,            0.055796,              0.1197,            0.017874,             0.62511,             0.44136,             0.38901,             0.19929,            0.054302,             0.08934,            0.018095,           0.0085893,           0.0085893,           0.0085893
                  59,            0.053986,             0.10896,            0.017597,             0.65626,             0.37289,             0.38095,             0.18494,             0.05386,            0.089279,            0.017498,           0.0085645,           0.0085645,           0.0085645
                  60,            0.052449,             0.12268,            0.017663,             0.71626,             0.38746,             0.43281,             0.23043,             0.05453,            0.090714,            0.017448,           0.0085398,           0.0085398,           0.0085398
                  61,            0.052634,              0.1183,            0.017375,             0.64709,             0.42107,             0.37711,             0.17118,            0.057057,            0.088158,            0.018093,            0.008515,            0.008515,            0.008515
                  62,            0.056461,             0.11743,            0.017273,             0.63996,             0.45064,             0.38269,             0.19732,            0.054498,            0.086227,            0.017908,           0.0084903,           0.0084903,           0.0084903
